ID,Артикул,Имя,Короткое описание,Описание,В наличии?,Запасы,Цена распродажи,Базовая цена,Категории,Мета: _new_product,Мета: _best_seller,Мета: _popular_product,Мета: _onsale_product,Мета: _awooc_button,Мета: _yoast_wpseo_primary_product_cat,Мета: delevery,Мета: _delevery
2079,АРТ-09091987,Шорты,Шорты с эластичным поясом,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,5,,,Женщинам > Одежда,yes,yes,yes,yes,no,126,,
2083,АРТ-09091988,Шорты,,,1,10,2799,3500,,,,,,,,,
2084,АРТ-09091989,Шорты,,,1,5,2799,3500,,,,,,,,,
2085,АРТ-09091990,Шорты,,,1,10,2799,3500,,,,,,,,,
2086,АРТ-09091991,Mango,Брюки – LOLOTEN,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2088,АРТ-09091992,Mango,,,1,10,2799,2999,,,,,,,,,
2089,АРТ-09091993,Mango,,,1,5,2799,2999,,,,,,,,,
2090,АРТ-09091994,Mango,,,1,10,2799,2999,,,,,,,,,
2091,АРТ-09091995,Zarina,Куртка джинсовая,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2092,АРТ-09091996,Zarina,,,1,10,2799,3599,,,,,,,,,
2093,АРТ-09091997,Zarina,,,1,5,2799,3599,,,,,,,,,
2094,АРТ-09091998,Zarina,,,1,10,2799,3599,,,,,,,,,
2095,АРТ-09091999,Пиджак,Пиджак из технологичной ткани,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2096,АРТ-09092000,Пиджак,,,1,10,2799,4999,,,,,,,,,
2097,АРТ-09092001,Пиджак,,,1,5,2799,4999,,,,,,,,,
2098,АРТ-09092002,Пиджак,,,1,10,2799,4999,,,,,,,,,
2099,АРТ-09092003,Рубашка,Фактурная рубашка из жаккарда,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,5,,,Мужчинам > Одежда,no,no,no,no,no,123,,
2100,АРТ-09092004,Рубашка,,,1,10,499,1999,,,,,,,,,
2101,АРТ-09092005,Рубашка,,,1,5,499,1999,,,,,,,,,
2102,АРТ-09092006,Рубашка,,,1,10,499,1999,,,,,,,,,
